"value","market","date"
"4.02","4.03","2023-08-28"
"4.04","4.04","2023-08-25"
"4.08","4.09","2023-08-24"
"4.02","4.03","2023-08-23"
"4.18","4.18","2023-08-22"
"4.14","4.15","2023-08-21"
"4.08","4.09","2023-08-18"
"4.13","4.12","2023-08-17"
"4.12","4.12","2023-08-16"
"4.1","4.11","2023-08-15"
"4.03","4.04","2023-08-14"
"3.99","3.99","2023-08-11"
"3.93","3.93","2023-08-10"
"3.86","3.87","2023-08-09"
"3.83","3.82","2023-08-08"
"3.87","3.87","2023-08-04"
"4.04","4.04","2023-08-03"
"3.97","3.97","2023-08-02"
"3.98","3.99","2023-08-01"
"3.9","3.9","2023-07-31"
"3.92","3.93","2023-07-28"
"4","4.01","2023-07-27"
"3.85","3.88","2023-07-26"
"3.93","3.92","2023-07-25"
"3.9","3.91","2023-07-24"
"3.81","3.81","2023-07-21"
"3.86","3.88","2023-07-20"
"3.74","3.74","2023-07-19"
"3.76","3.76","2023-07-18"
"3.8","3.8","2023-07-17"
"3.76","3.77","2023-07-14"
"3.71","3.71","2023-07-13"
"3.81","3.81","2023-07-12"
"3.95","3.94","2023-07-11"
"3.91","3.91","2023-07-10"
"3.98","3.98","2023-07-07"
"3.91","3.91","2023-07-06"
"3.82","3.82","2023-07-05"
"3.74","3.76","2023-07-04"
"3.68","3.68","2023-06-30"
"3.78","3.78","2023-06-29"
"3.61","3.6","2023-06-28"
"3.69","3.7","2023-06-27"
"3.7","3.71","2023-06-26"
"3.76","3.76","2023-06-23"
"3.84","3.85","2023-06-22"
"3.74","3.74","2023-06-21"
"3.69","3.69","2023-06-20"
"3.75","3.75","2023-06-19"
"3.68","3.69","2023-06-16"
"3.64","3.64","2023-06-15"
"3.72","3.71","2023-06-14"
"3.76","3.76","2023-06-13"
"3.64","3.64","2023-06-12"
"3.68","3.68","2023-06-09"
"3.7","3.7","2023-06-08"
"3.73","3.73","2023-06-07"
"3.55","3.55","2023-06-06"
"3.52","3.52","2023-06-05"
"3.49","3.5","2023-06-02"
"3.41","3.41","2023-06-01"
"3.44","3.45","2023-05-31"
"3.5","3.51","2023-05-30"
"3.59","","2023-05-29"
"3.57","3.58","2023-05-26"
"3.52","3.52","2023-05-25"
"3.46","3.47","2023-05-24"
"3.41","3.4","2023-05-23"
"3.29","3.31","2023-05-19"
"3.36","3.35","2023-05-18"
"3.29","3.29","2023-05-17"
"3.21","3.22","2023-05-16"
"3.08","3.08","2023-05-15"
"3","3","2023-05-12"
"2.94","2.94","2023-05-11"
"2.99","3.01","2023-05-10"
"3.08","3.07","2023-05-09"
"3.08","3.09","2023-05-08"
"3.02","3.02","2023-05-05"
"2.88","2.89","2023-05-04"
"2.87","2.87","2023-05-03"
"2.95","2.96","2023-05-02"
"3.1","3.1","2023-05-01"
"2.97","2.97","2023-04-28"
"3.09","3.09","2023-04-27"
"2.98","2.98","2023-04-26"
"2.92","2.93","2023-04-25"
"3.08","3.06","2023-04-24"
"3.1","3.1","2023-04-21"
"3.15","3.15","2023-04-20"
"3.24","3.24","2023-04-19"
"3.23","3.23","2023-04-18"
"3.26","3.26","2023-04-17"
"3.21","3.21","2023-04-14"
"3.11","3.11","2023-04-13"
"3.04","3.04","2023-04-12"
"3.06","3.07","2023-04-11"
"3.04","3.04","2023-04-10"
"2.9","2.89","2023-04-06"
"2.87","2.87","2023-04-05"
"2.85","2.84","2023-04-04"
"2.94","2.94","2023-04-03"
"3.02","3.02","2023-03-31"
"3.06","3.07","2023-03-30"
"3.05","3.05","2023-03-29"
"3","3.03","2023-03-28"
"2.96","2.95","2023-03-27"
"2.77","2.77","2023-03-24"
"2.75","2.77","2023-03-23"
"2.77","2.78","2023-03-22"
"2.97","2.98","2023-03-21"
"2.96","2.96","2023-03-20"
"2.89","2.9","2023-03-17"
"3.05","3.06","2023-03-16"
"2.85","2.85","2023-03-15"
"3.01","3.03","2023-03-14"
"2.9","2.9","2023-03-13"
"3.19","3.19","2023-03-10"
"3.37","3.36","2023-03-09"
"3.5","3.51","2023-03-08"
"3.57","3.57","2023-03-07"
"3.58","3.57","2023-03-06"
"3.55","3.55","2023-03-03"
"3.66","3.65","2023-03-02"
"3.59","3.6","2023-03-01"
"3.52","3.6","2023-02-28"
"3.57","3.59","2023-02-27"
"3.59","3.58","2023-02-24"
"3.5","3.51","2023-02-23"
"3.54","3.54","2023-02-22"
"3.58","3.59","2023-02-21"
"3.45","3.45","2023-02-17"
"3.45","3.45","2023-02-16"
"3.43","3.43","2023-02-15"
"3.39","3.39","2023-02-14"
"3.27","3.28","2023-02-13"
"3.31","3.3","2023-02-10"
"3.2","3.19","2023-02-09"
"3.16","3.16","2023-02-08"
"3.2","3.21","2023-02-07"
"3.17","3.18","2023-02-06"
"3.05","2.92","2023-02-03"
"2.92","2.93","2023-02-02"
"2.93","2.94","2023-02-01"
"3.04","3.03","2023-01-31"
"3.04","3.05","2023-01-30"
"3.01","3","2023-01-27"
"2.95","2.96","2023-01-26"
"2.88","2.89","2023-01-25"
"2.93","2.95","2023-01-24"
"2.97","2.97","2023-01-23"
"2.92","2.92","2023-01-20"
"2.82","2.82","2023-01-19"
"2.8","2.79","2023-01-18"
"2.93","2.93","2023-01-17"
"2.95","2.95","2023-01-16"
"3","3.01","2023-01-13"
"3.02","3.03","2023-01-12"
"3.13","3.13","2023-01-11"
"3.23","3.24","2023-01-10"
"3.22","3.22","2023-01-09"
"3.24","3.24","2023-01-06"
"3.32","3.33","2023-01-05"
"3.28","3.28","2023-01-04"
"3.34","3.32","2023-01-03"
"3.41","3.42","2022-12-30"
"3.37","3.37","2022-12-29"
"3.37","3.37","2022-12-28"
"3.25","3.27","2022-12-23"
"3.15","3.14","2022-12-22"
"3.07","3.07","2022-12-21"
"3.07","3.07","2022-12-20"
"2.97","2.97","2022-12-19"
"2.91","2.92","2022-12-16"
"2.9","2.91","2022-12-15"
"2.94","2.95","2022-12-14"
"3","3","2022-12-13"
"3.11","3.12","2022-12-12"
"3.07","3.08","2022-12-09"
"3.01","3.01","2022-12-08"
"2.96","2.97","2022-12-07"
"3","3","2022-12-06"
"3.06","3.06","2022-12-05"
"3","3.02","2022-12-02"
"3.05","3.07","2022-12-01"
"3.18","3.16","2022-11-30"
"3.24","3.24","2022-11-29"
"3.18","3.18","2022-11-28"
"3.15","3.17","2022-11-25"
"3.16","3.21","2022-11-24"
"3.22","3.21","2022-11-23"
"3.26","3.27","2022-11-22"
"3.32","3.32","2022-11-21"
"3.35","3.37","2022-11-18"
"3.33","3.34","2022-11-17"
"3.26","3.28","2022-11-16"
"3.32","3.3","2022-11-15"
"3.33","3.33","2022-11-14"
"3.31","3.31","2022-11-10"
"3.6","3.6","2022-11-09"
"3.67","3.68","2022-11-08"
"3.77","3.76","2022-11-07"
"3.67","3.67","2022-11-04"
"3.59","3.6","2022-11-03"
"3.48","3.5","2022-11-02"
"3.43","3.44","2022-11-01"
"3.43","3.42","2022-10-31"
"3.38","3.39","2022-10-28"
"3.33","3.32","2022-10-27"
"3.41","3.41","2022-10-26"
"3.66","3.66","2022-10-25"
"3.71","3.73","2022-10-24"
"3.73","3.74","2022-10-21"
"3.84","3.86","2022-10-20"
"3.71","3.71","2022-10-19"
"3.51","3.51","2022-10-18"
"3.6","3.61","2022-10-17"
"3.64","3.68","2022-10-14"
"3.59","3.6","2022-10-13"
"3.57","3.57","2022-10-12"
"3.62","3.62","2022-10-11"
"3.55","3.56","2022-10-07"
"3.49","3.49","2022-10-06"
"3.42","3.43","2022-10-05"
"3.27","3.27","2022-10-04"
"3.28","3.29","2022-10-03"
"3.32","3.33","2022-09-29"
"3.24","3.26","2022-09-28"
"3.45","3.52","2022-09-27"
"3.5","3.44","2022-09-26"
"3.4","3.32","2022-09-23"
"3.4","3.33","2022-09-22"
"3.35","3.27","2022-09-21"
"3.39","3.32","2022-09-20"
"3.42","3.36","2022-09-19"
"3.41","3.34","2022-09-16"
"3.43","3.35","2022-09-15"
"3.39","3.33","2022-09-14"
"3.38","3.32","2022-09-13"
"3.3","3.24","2022-09-12"
"3.31","3.26","2022-09-09"
"3.37","3.32","2022-09-08"
"3.3","3.26","2022-09-07"
"3.33","3.29","2022-09-06"
"3.28","3.22","2022-09-02"
"3.37","3.31","2022-09-01"
"3.34","3.3","2022-08-31"
"3.32","3.27","2022-08-30"
"3.31","3.26","2022-08-29"
"3.25","3.19","2022-08-26"
"3.23","3.18","2022-08-25"
"3.27","3.24","2022-08-24"
"3.21","3.18","2022-08-23"
"3.19","3.15","2022-08-22"
"3.13","3.07","2022-08-19"
"3.06","3","2022-08-18"
"3.05","3.01","2022-08-17"
"2.95","2.91","2022-08-16"
"2.88","2.81","2022-08-15"
"2.91","2.86","2022-08-12"
"2.94","2.89","2022-08-11"
"2.85","2.79","2022-08-10"
"2.91","2.83","2022-08-09"
"2.87","2.8","2022-08-08"
"2.9","2.83","2022-08-05"
"2.79","2.76","2022-08-04"
"2.85","2.82","2022-08-03"
"2.8","2.76","2022-08-02"
"2.66","2.62","2022-07-29"
"2.65","2.61","2022-07-28"
"2.83","2.78","2022-07-27"
"2.87","2.85","2022-07-26"
"2.9","2.89","2022-07-25"
"2.86","2.84","2022-07-22"
"3","2.98","2022-07-21"
"3.15","3.16","2022-07-20"
"3.13","3.13","2022-07-19"
"3.07","3.08","2022-07-18"
"3.08","3.08","2022-07-15"
"3.14","3.14","2022-07-14"
"3.13","3.13","2022-07-13"
"3.1","3.11","2022-07-12"
"3.16","3.17","2022-07-11"
"3.21","3.21","2022-07-08"
"3.12","3.11","2022-07-07"
"3.06","3.07","2022-07-06"
"2.94","2.97","2022-07-05"
"3.04","3.05","2022-07-04"
"3.1","3.11","2022-06-30"
"3.17","3.2","2022-06-29"
"3.22","3.23","2022-06-28"
"3.24","3.26","2022-06-27"
"3.19","3.22","2022-06-24"
"3.16","3.19","2022-06-23"
"3.31","3.33","2022-06-22"
"3.4","3.42","2022-06-21"
"3.37","3.39","2022-06-20"
"3.32","3.34","2022-06-17"
"3.31","3.32","2022-06-16"
"3.38","3.4","2022-06-15"
"3.56","3.59","2022-06-14"
"3.48","3.52","2022-06-13"
"3.32","3.34","2022-06-10"
"3.15","3.16","2022-06-09"
"3.18","3.21","2022-06-08"
"3.1","3.12","2022-06-07"
"3.09","3.13","2022-06-06"
"2.96","2.98","2022-06-03"
"2.89","2.92","2022-06-02"
"2.86","2.88","2022-06-01"
"2.72","2.75","2022-05-31"
"2.66","2.64","2022-05-30"
"2.61","2.64","2022-05-27"
"2.62","2.64","2022-05-26"
"2.6","2.64","2022-05-25"
"2.64","2.67","2022-05-24"
"2.7","2.73","2022-05-20"
"2.75","2.77","2022-05-19"
"2.83","2.84","2022-05-18"
